,Lapwing_ID,Test_Number,Urban,TimeStandingSec,area_explored,dummy enter,Head bob,Pose-fly,Puff,Scream,scrining,Shaking head,Tail wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,WalkingMeters,PercentageInCameraView,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,MinDisplacementDummy,Experiment,Head.BobBi1,PoseflyBi0,PuffBi0,ScreamBi2,scriningBi0,ShakingheadBi0,Tail.wingleBi1,Fly_Sequencessqrt,Total_Time_Fly_secSqrt,NumStopsLocations,TotalTimeStoped,MinDisplacementDummyBi120,LogWalkingMeters,ShowCameraBi50,TimeInCenter1,TimeInPeri98,NumberOfHighExploration0,MedianDisplacementCoresqrt,Months,WeightLoss,PC1_Stress,PC2_Tolerance,Initial SMI,Urban250,Experimental SMI
93,32444,2,71.48,83.67,28.21,1,0,0,0,2,0,0,2,3,4.08,12.24,1.39,22.08,100,29/07/2020,9:28:00,2,166,2020,Female,32.142242,34.819781,169,10.6,89.4,44,0,3,41,71.46,CST,0,0,0,0,0,0,1,1.732050808,3.498571137,122,25,0,3.094672221,1,1,0,0,16.93841787,7,-1.775147929,-0.597655312,0.094074673,172.1523314,60.87,168.1408243
94,32444,3,71.48,70.7,15.38,1,0,0,0,0,0,0,4,1,4.9,4.9,NA,41.66,100,05/08/2020,10:09:00,3,163,2020,Female,32.142242,34.819781,169,0,100,24,1,1,22,200.14,CST,0,0,0,0,0,0,1,1,2.213594362,85,26,1,3.729541436,1,0,0,1,16.93812268,8,-3.550295858,-0.690582084,-1.247198421,172.1523314,60.87,165.1021347
95,32445,1,67.77,62.67,21.79,1,1,0,0,16,0,0,1,4,3.64,14.56,0.5,10.51,59,27/07/2020,10:00:00,1,168,2020,Female,32.139344,34.823647,182,1,99,34,0,2,32,52.8,CST,0,0,0,1,0,0,0,2,3.815756806,79,11,0,2.352327185,1,1,0,0,17.43559577,7,-7.692307692,-0.428260917,-0.178407732,181.0420694,66.43,167.386401
96,32445,2,67.77,55.27,12.82,1,0,0,0,0,0,0,1,0,0,0,NA,59.28,100,03/08/2020,10:20:00,3,172,2020,Female,32.139344,34.823647,182,0,100,20,0,0,20,206.27,CST,0,0,0,0,0,0,0,0,0,48,22,1,4.082271981,1,0,0,0,17.65785944,8,-5.494505495,-0.963396506,-2.690573941,181.0420694,66.43,171.3717915
97,32446,2,76.36,34.13,10.9,1,0,0,0,172,0,0,0,2,1.75,3.5,1.06,105.09,100,03/08/2020,9:40:00,2,169,2020,Female,32.143061,34.823788,205,0,100,17,0,2,15,208.24,CST,0,0,0,1,0,0,0,1.414213562,1.870828693,24,20,1,4.654817126,1,0,0,0,18.15764302,8,-17.56097561,-2.039701237,-2.713548468,204.8828049,78.37,168.9330051
98,32446,3,76.36,33.87,17.95,1,0,0,0,44,0,0,0,2,2.89,5.78,0.16,99.47,100,10/08/2020,9:02:00,1,169,2020,Female,32.143061,34.823788,205,0.2,99.8,28,0,0,28,190.84,CST,0,0,0,1,0,0,0,1.414213562,2.404163056,10,10,1,4.599856091,1,0,0,0,17.04406055,8,-17.56097561,-2.016611442,-1.655222318,204.8828049,78.37,168.9330051
99,32447,1,44.6,24,17.95,1,0,0,0,49,0,0,1,6,2.87,17.2,1.03,7.59,30,27/07/2020,11:07:00,3,159,2020,Male,32.146597,34.812101,164,0.7,99.3,28,0,0,28,42.15,CST,0,0,0,1,0,0,0,2.449489743,4.147288271,37,9,0,2.026831591,0,0,0,0,17.93069993,7,-3.048780488,-0.908865889,-0.585718507,170.3374368,42.55,163.2353605
100,32447,2,44.6,86,27.56,1,5,1,0,39,0,0,3,5,4.06,20.32,0.78,25.52,100,03/08/2020,9:10:00,1,166,2020,Male,32.146597,34.812101,164,5.1,94.9,43,0,2,41,111.16,CST,1,1,0,1,0,0,1,2.236067977,4.507771068,121,26,0,3.239462458,1,1,0,0,18.02498266,8,1.219512195,-0.261708586,0.360740049,170.3374368,42.55,170.4218229
101,32447,3,44.6,80.53,16.03,1,1,0,1,5,0,1,4,1,5.79,5.79,NA,32.32,100,10/08/2020,9:40:00,2,173,2020,Male,32.146597,34.812101,164,0,100,25,0,2,23,186.55,CST,0,0,1,1,0,1,1,1,2.406241883,102,35,1,3.475686234,1,0,0,0,17.04699387,8,5.487804878,0.570434392,-1.647066294,170.3374368,42.55,177.6082853
102,33665,1,23.72,49.23,37.82,1,0,0,0,13,0,1,2,4,2.31,9.25,1.26,84.9,100,29/07/2020,8:56:00,1,164,2020,Female,31.78631,34.672921,182,0.5,99.5,59,0,0,59,84.57,CST,0,0,0,1,0,1,1,2,3.041381265,42,19,0,4.441474093,1,0,0,0,16.64932431,7,-9.89010989,-2.216474987,-0.18672034,174.4930024,14.4,159.2794967
