,Lapwing_ID,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Total SMI,Test_Number,Box_time,Fields 1,Urban,Bare_Ground,Clouds,Fields 2,Natural,Fields 3,Snow,mataim,WaterPonds,dirt road,Main roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,UrbanizationScore,Months,WeightLoss,LTEBinomial,Experiment SMI
13,22729,7.6,208,95,76.1,187.1269059,1,206.01,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,10/05/2022,9:33:00,3,188,2022,Female,32.524517,35.444488,189,0,5,-0.529100529,0,186.7061634
14,22729,7.6,208,95,76.1,187.1269059,2,557.57,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,17/05/2022,10:24:00,4,177,2022,Female,32.524517,35.444488,189,0,5,-6.349206349,1,175.7818666
15,22729,7.6,208,95,76.1,187.1269059,3,600,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,24/05/2022,11:29:00,6,180,2022,Female,32.524517,35.444488,189,0,5,-4.761904762,1,178.7612203
16,22737,9.4,205,92,72.5,194.8080312,2,135.24,18.79,0,0,0,0,13.14,0,0,0,67.14,0.92,0,LTE,31/05/2022,9:35:00,4,173,2022,Male,32.536023,35.415447,194,0,5,-10.82474227,0,173.4992949
17,22737,9.4,205,92,72.5,194.8080312,3,540.71,18.79,0,0,0,0,13.14,0,0,0,67.14,0.92,0,LTE,07/06/2022,12:39:00,10,178,2022,Male,32.536023,35.415447,194,0,6,-8.24742268,1,178.5137254
18,22737,9.4,205,92,72.5,194.8080312,1,0,18.79,0,0,0,0,13.14,0,0,0,67.14,0.92,0,LTE,24/05/2022,10:16:00,4,173,2022,Male,32.536023,35.415447,194,0,5,-10.82474227,0,173.4992949
19,22738,9.1,205,90,81.2,180.7497196,3,202.22,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,07/06/2022,11:02:00,8,167,2022,Male,32.536876,35.415569,180,0,6,-7.222222222,0,167.4819783
20,22738,9.1,205,90,81.2,180.7497196,1,515.44,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,24/05/2022,10:52:00,5,168,2022,Male,32.536876,35.415569,180,0,5,-6.666666667,1,168.4848644
21,22738,9.1,205,90,81.2,180.7497196,2,193.12,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,31/05/2022,9:05:00,3,170,2022,Male,32.536876,35.415569,180,0,5,-5.555555556,0,170.4906366
22,22739,7.9,210,96,76.5,185.3950081,1,98.8,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,24/05/2022,9:15:00,2,176,2022,Female,32.536876,35.415569,189,0,5,-6.878306878,0,173.6654912
23,22739,7.9,210,96,76.5,185.3950081,2,2.95,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,31/05/2022,8:40:00,2,176,2022,Female,32.536876,35.415569,189,0,5,-6.878306878,0,173.6654912
24,22739,7.9,210,96,76.5,185.3950081,3,95.37,30.94,0,0,0,0,9.84,0,0,0,59.01,0.22,0,LTE,07/06/2022,8:34:00,3,177,2022,Female,32.536876,35.415569,189,0,6,-6.349206349,0,174.6522269
25,22740,6.8,200,95,75,177.9390365,1,2.92,0,97.72,0,0,0,0,0,0,0,0,2.28,0,LTE,24/05/2022,12:13:00,7,150,2022,Female,32.504349,35.459827,173,86.32,5,-13.29479769,0,152.9564269
26,22740,6.8,200,95,75,177.9390365,2,3.88,0,97.72,0,0,0,0,0,0,0,0,2.28,0,LTE,31/05/2022,10:34:00,6,155,2022,Female,32.504349,35.459827,173,86.32,5,-10.40462428,0,158.0549745
27,22740,6.8,200,95,75,177.9390365,3,1.1,0,97.72,0,0,0,0,0,0,0,0,2.28,0,LTE,07/06/2022,14:48:00,13,156,2022,Female,32.504349,35.459827,173,86.32,6,-9.826589595,0,159.074684
28,22745,9.8,210,95,79.9,182.4522302,3,496.69,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,13/06/2022,12:00:00,9,176,2022,Male,32.516343,35.482869,186,0,6,-5.376344086,1,173.6654912
29,22745,9.8,210,95,79.9,182.4522302,1,470.62,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,31/05/2022,10:02:00,5,169,2022,Male,32.516343,35.482869,186,0,5,-9.139784946,1,166.7583409
30,22745,9.8,210,95,79.9,182.4522302,2,2.5,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,07/06/2022,10:36:00,7,177,2022,Male,32.516343,35.482869,186,0,6,-4.838709677,0,174.6522269
31,22746,3.6,203,91,79.8,188.5624659,1,97.97,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,31/05/2022,8:13:00,1,179,2022,Female,32.516343,35.482869,186,0,5,-3.76344086,0,180.7062666
32,22746,3.6,203,91,79.8,188.5624659,2,342.78,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,07/06/2022,14:12:00,12,175,2022,Female,32.516343,35.482869,186,0,6,-5.913978495,1,176.6681378
33,22746,3.6,203,91,79.8,188.5624659,3,82.74,83.67,0,0,0,0,0,0,0,0,13.92,2.41,0,LTE,13/06/2022,10:06:00,5,170,2022,Female,32.516343,35.482869,186,0,6,-8.602150538,0,171.6204767
34,22747,7.8,205,94,78.8,185.7705452,1,285.7,96.56,0,0,0,0,1.41,0,0,0,0,2.04,0,LTE,31/05/2022,11:00:00,7,167,2022,Female,32.53295,35.451315,185,0,5,-9.72972973,1,167.4819783
