Row_Number,Lapwing_ID,Test_Number,Fields,Urban,Water_Ponds,Experiment,Date,time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeStandingSec,Head_bobbing,peck,Pose_fly,preening,Puff,Call,screening,Shake_wings,Shaking_head,Tail_wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SE_Time_Fly_sec,Number_Stops_Locations,Total_Time_Stoped,Walking_Meters,Percentage_In_Camera_View,area_explored,TimeInCenter,TimeInPeri,TotalUniqueLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,PC1,PC2,SMI,Experiment_SMI,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Time_to_emerge,Minimum_Disp_Threat
31,22728,2,22.37,0,60.44,LTE,17/05/2022,09:23:00,2,179,2022,Female,32.527179,35.445369,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.4109222,180.7062666,7.7,203,92,76.8,600,NA
32,22728,2,22.37,0,60.44,OFT,17/05/2022,09:23:00,2,179,2022,Female,32.527179,35.445369,175,297.9,9,0,0,0,3,0,1,0,2,8,2,4.86,9.73,1.61,383,16,21.09,99,18.59,0.1,99.9,29,2,1,26,-0.343618425,-1.355511085,177.4109222,180.7062666,7.7,203,92,76.8,NA,NA
33,22728,2,22.37,0,60.44,CST,17/05/2022,09:23:00,2,179,2022,Female,32.527179,35.445369,175,80.6,3,NA,0,0,0,0,0,0,0,2,2,4.8,9.6,0.02,119,9,13.06,78,14.74,0.1,99.9,23,0,0,23,0.857784402,-0.122088344,177.4109222,180.7062666,7.7,203,92,76.8,NA,57.51
34,22728,3,22.37,0,60.44,LTE,24/05/2022,08:25:00,1,174,2022,Female,32.527179,35.445369,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.4109222,175.6586056,7.7,203,92,76.8,369.81,NA
35,22728,3,22.37,0,60.44,OFT,24/05/2022,08:25:00,1,174,2022,Female,32.527179,35.445369,175,256,8,0,0,0,3,0,0,0,2,13,1,7.86,7.86,NA,298,50,53.07,100,37.18,3.6,96.4,58,1,3,54,-0.264783695,0.163105684,177.4109222,175.6586056,7.7,203,92,76.8,NA,NA
36,22728,3,22.37,0,60.44,CST,24/05/2022,08:25:00,1,174,2022,Female,32.527179,35.445369,175,96.97,3,NA,0,0,1,1,0,0,0,3,2,4.81,9.62,0.1,137,9,21.03,100,28.85,1.2,98.8,45,1,1,43,1.417136819,-0.126439723,177.4109222,175.6586056,7.7,203,92,76.8,NA,157.92
37,22729,1,16.43,0,83.44,LTE,10/05/2022,09:33:00,3,188,2022,Female,32.524517,35.444488,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.1269059,186.7061634,7.6,208,95,76.1,206.01,NA
38,22729,1,16.43,0,83.44,OFT,10/05/2022,09:33:00,3,188,2022,Female,32.524517,35.444488,189,119.67,0,0,0,1,2,0,2,0,2,4,3,7.22,21.67,4.01,201,21,15.91,56,23.08,18.6,81.4,36,0,3,33,0.441114613,-1.327805814,187.1269059,186.7061634,7.6,208,95,76.1,NA,NA
39,22729,1,16.43,0,83.44,CST,10/05/2022,09:33:00,3,188,2022,Female,32.524517,35.444488,189,126.6,3,NA,0,0,1,0,0,0,0,4,2,5.66,11.32,1.73,167,2,5.92,96,10.9,0.1,99.9,17,2,0,15,3.68879254,0.683634903,187.1269059,186.7061634,7.6,208,95,76.1,NA,39.8
40,22729,2,16.43,0,83.44,LTE,17/05/2022,10:24:00,4,177,2022,Female,32.524517,35.444488,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.1269059,175.7818666,7.6,208,95,76.1,557.57,NA
41,22729,2,16.43,0,83.44,OFT,17/05/2022,10:24:00,4,177,2022,Female,32.524517,35.444488,189,272.73,3,0,3,1,4,0,1,0,4,7,4,8.92,35.67,2.75,376,9,18.37,96,46.15,69.1,30.9,72,2,4,66,2.505697842,-0.728675533,187.1269059,175.7818666,7.6,208,95,76.1,NA,NA
42,22729,2,16.43,0,83.44,CST,17/05/2022,10:24:00,4,177,2022,Female,32.524517,35.444488,189,115.4,1,NA,0,0,0,0,0,0,0,1,4,6,24.02,1.43,157,8,9.53,94,12.18,0.2,99.8,19,0,4,15,0.889559623,0.620598458,187.1269059,175.7818666,7.6,208,95,76.1,NA,82.64
43,22729,3,16.43,0,83.44,LTE,24/05/2022,11:29:00,6,180,2022,Female,32.524517,35.444488,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.1269059,178.7612203,7.6,208,95,76.1,600,NA
44,22729,3,16.43,0,83.44,OFT,24/05/2022,11:29:00,6,180,2022,Female,32.524517,35.444488,189,282.07,2,0,0,0,4,0,0,0,2,7,7,5.88,41.14,1.96,377,13,18.56,97,33.97,30.4,69.6,53,1,6,46,1.711796512,-0.250366856,187.1269059,178.7612203,7.6,208,95,76.1,NA,NA
