,Lapwing_ID,Test_Number,TimeStandingSec,Fields.1,Urban,Bare_Ground,Clouds,Fields.2,Natural,Fields.3,Snow,mataim,WaterPonds,dirt.road,Main.roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,Head.bob,peck,Pose.fly,prening,Puff,Scream,scrining,Shake.wings,Shaking.head,Tail.wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,NumStopsLocations,TotalTimeStoped,WalkingMeters,PercentageInCameraView,area_explored,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,HeadBobBi1,PoseflyBi0,PreningBi0,PffSqrt,ScreamBi0,scriningBi0,ShakeWingBi0,ShakeHeadBi1,TailWingeSqRt,Fly_SequencesSqrT,Total_Time_Fly_secSqrT,Mean_Time_Fly_secSqrT,NumStopsLocationsSame,TotalTimeStopedSqrT,WalkingMetersLog,ShowCameraBi50,area_exploredSame,TimeInCenterBi10,TimeInPeri90,TotalLocationsVisitedSame,NumberOfHighExplorationBi1,TimeToEmergeBinomial,PercentageInCameraViewBi98,PC1_Stress,PC2_Mobility,Initial SMI,Box_time.y,Urban250,Months,Experiment SMI
67,32433,1,228.3,75.85,24.15,0,0,0,0,0,0,0,0,0,0,OFT,02/07/2020,9:24:00,1,177,2020,Female,32.145961,34.826317,189,6,0,1,0,2,0,1,1,1,14,6,2.82,16.89,0.66,284,49,58.52,100,73.72,34.8,65.2,115,0,2,113,1,1,0,1.414213562,0,1,1,0,3.741657387,2.449489743,4.109744518,1.679285562,284,7,4.069368576,1,73.72,1,0,115,0,0,1,1.47953393,2.06209414,193.4560202,1.6,36.45,7,179.8831246
68,32433,2,204.1,75.85,24.15,0,0,0,0,0,0,0,0,0,0,OFT,06/07/2020,9:29:00,1,179,2020,Female,32.145961,34.826317,189,0,0,0,0,2,0,1,0,2,12,8,2.5,20.01,0.45,222,55,77.29,100,60.26,22.7,77.3,94,0,2,92,0,0,0,1.414213562,0,1,0,1,3.464101615,2.828427125,4.473253849,1.58113883,222,7.416198487,4.347564581,1,60.26,1,0,94,0,0,1,1.048043027,1.886106931,193.4560202,61.02,36.45,7,181.9157023
69,32434,1,228.43,78.68,21.32,0,0,0,0,0,0,0,0,0,0,OFT,02/07/2020,11:17:00,4,188,2020,Male,32.146048,34.826132,202,20,0,0,0,5,0,0,0,3,10,6,2.87,17.21,0.41,289,49,50.08,100,73.08,45.3,54.7,114,0,2,112,1,0,0,2.236067977,0,0,0,1,3.16227766,2.449489743,4.148493703,1.694107435,289,7,3.913621727,1,73.08,1,0,114,0,0,1,2.092253843,1.784405039,191.077911,10.1,33.91,7,180.8920244
70,32434,2,91.17,78.68,21.32,0,0,0,0,0,0,0,0,0,0,OFT,08/07/2020,12:47:00,6,193,2020,Male,32.146048,34.826132,202,0,0,0,0,1,0,1,0,1,6,2,4.87,9.74,0.66,120,30,18.88,41,23.72,1.2,98.8,37,0,1,36,0,0,0,1,0,1,0,0,2.449489743,1.414213562,3.120897307,2.206807649,120,5.477225575,2.938103161,0,23.72,0,1,37,0,0,0,-1.96278407,-0.342239252,191.077911,3.8,33.91,7,185.7029825
71,32434,3,193.2,78.68,21.32,0,0,0,0,0,0,0,0,0,0,OFT,16/07/2020,11:25:00,5,194,2020,Male,32.146048,34.826132,202,0,0,3,0,2,0,0,0,2,7,5,5.37,26.87,1.92,257,46,53.45,89,42.95,3.4,96.6,67,0,5,62,0,1,0,1.414213562,0,0,0,1,2.645751311,2.236067977,5.183628073,2.317326045,257,6.782329983,3.978746637,1,42.95,0,1,67,0,0,0,-0.376400173,1.119232208,191.077911,4.5,33.91,7,186.6651741
72,32435,1,214.93,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,08/07/2020,10:21:00,2,169,2020,Female,32.454353,34.939508,184,1,1,0,0,0,0,1,1,2,7,0,0,0,NA,277,73,47.01,100,23.08,1.7,98.3,36,1,5,30,0,0,0,0,0,1,1,1,2.645751311,0,0,0,277,8.544003745,3.850360345,1,23.08,0,1,36,0,1,1,-2.532382908,-0.54473004,185.6463731,600,7.9,7,170.0470437
73,32435,2,174.27,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,16/07/2020,11:54:00,6,172,2020,Female,32.454353,34.939508,184,0,0,0,1,3,0,0,0,1,5,0,0,0,NA,202,65,48.17,81,64.1,2.6,97.4,100,0,5,95,0,0,1,1.732050808,0,0,0,0,2.236067977,0,0,0,202,8.062257748,3.874736421,1,64.1,0,1,100,0,1,0,0.114360571,0.044946646,185.6463731,600,7.9,7,173.0656302
74,32435,3,121.17,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,22/07/2020,8:37:00,2,175,2020,Female,32.454353,34.939508,184,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,149,42,23.94,55,43.59,4.3,95.7,68,0,1,67,0,0,0,0,0,0,1,0,1,0,0,0,149,6.480740698,3.1755507,1,43.59,0,1,68,0,0,0,-2.536132272,0.120807066,185.6463731,11.5,7.9,7,176.0842168
75,32436,1,234.33,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,08/07/2020,9:49:00,1,174,2020,Male,32.454353,34.939508,185,0,0,0,0,2,0,0,0,0,15,2,3.5,7.01,1.1,303,27,38.68,93,32.69,2.9,97.1,51,1,3,47,0,0,0,1.414213562,0,0,0,0,3.872983346,1.414213562,2.647640459,1.870828693,303,5.196152423,3.655322671,1,32.69,0,1,51,0,0,0,-0.732216372,-0.142069026,187.5486892,3.4,7.9,7,175.6586056
76,32436,2,294.03,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,16/07/2020,10:06:00,3,179,2020,Male,32.454353,34.939508,185,0,0,0,0,1,0,0,1,0,8,3,3.38,10.14,0.32,357,18,29.06,100,23.72,0.2,99.8,37,3,1,33,0,0,0,1,0,0,1,0,2.828427125,1.732050808,3.184336666,1.838477631,357,4.242640687,3.369362658,1,23.72,0,1,37,1,1,1,-0.80205926,-0.760287544,187.5486892,294.78,7.9,7,180.7062666
77,32436,3,179.03,89.34,10.66,0,0,0,0,0,0,0,0,0,0,OFT,22/07/2020,9:42:00,4,178,2020,Male,32.454353,34.939508,185,0,1,0,0,2,0,0,0,2,12,2,3.03,6.06,0.31,198,56,75.81,100,26.28,0.1,99.9,41,1,5,35,0,0,0,1.414213562,0,0,0,1,3.464101615,1.414213562,2.461706725,1.740689519,198,7.483314774,4.32823021,1,26.28,0,1,41,0,1,1,-1.290141734,0.26861263,187.5486892,600,7.9,7,179.6967344
78,32437,1,355.07,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,16/07/2020,8:56:00,1,173,2020,Female,32.492261,34.936742,181,0,0,1,0,2,0,0,0,1,11,5,2.31,11.55,1.03,402,9,9.71,100,16.03,19.8,80.2,25,1,2,22,0,1,0,1.414213562,0,0,0,0,3.31662479,2.236067977,3.398529094,1.519868415,402,3,2.273156282,1,16.03,1,0,25,0,0,1,0.879240573,-2.159410561,174.3221282,131.65,1.76,7,168.5490067
79,32437,2,69.87,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,22/07/2020,9:08:00,3,170,2020,Female,32.492261,34.936742,181,0,0,0,0,2,0,0,0,1,0,2,4.56,9.11,0.69,88,14,10.62,27,25.64,0.7,99.3,40,0,1,39,0,0,0,1.414213562,0,0,0,0,0,1.414213562,3.018277655,2.13541565,88,3.741657387,2.362739016,0,25.64,0,1,40,0,0,0,-1.703668477,-0.702760794,174.3221282,50.75,1.76,7,165.6261916
80,32437,3,346.43,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,29/07/2020,10:59:00,5,166,2020,Female,32.492261,34.936742,181,0,0,0,0,2,0,0,0,2,9,1,4.28,4.28,NA,413,2,9.96,100,15.38,0.6,99.4,24,2,0,22,0,0,0,1.414213562,0,0,0,1,3,1,2.068816087,2.068816087,413,1.414213562,2.298577072,1,15.38,0,1,24,1,0,1,-0.468324677,-2.35144845,174.3221282,1.6,1.76,7,161.7291047
81,32438,1,283.77,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,OFT,16/07/2020,9:34:00,2,185,2020,Male,32.492261,34.936742,188,1,0,0,0,2,0,10,0,2,4,5,2.88,14.4,1.55,376,26,20.93,100,32.05,58.9,41.1,50,1,5,44,0,0,0,1.414213562,0,1,0,1,2,2.236067977,3.794733192,1.697056275,376,5.099019514,3.041183536,1,32.05,1,0,50,0,0,1,0.842934497,-0.619313269,186.1368165,3.4,1.76,7,183.7268097
